['win', [[['10', 'C'], ['13', 'C']]], 'Flush']
['win', [[['11', 'D'], ['04', 'D']]], '2 Pairs']
['win', [[['01', 'S'], ['11', 'H']]], '2 Pairs']
['win', [[['12', 'S'], ['13', 'C']]], 'Pair']
['win', [[['13', 'C'], ['01', 'D']]], '2 Pairs']
['win', [[['03', 'D'], ['11', 'D']]], 'Pair']
['win', [[['04', 'S'], ['12', 'S']]], '2 Pairs']
['win', [[['10', 'S'], ['08', 'D']]], 'Straight']
['win', [[['07', 'H'], ['07', 'D']]], '3 of a Kind']
['win', [[['06', 'H'], ['12', 'S']]], '2 Pairs']
['win', [[['04', 'H'], ['05', 'H']]], 'Pair']
['win', [[['08', 'H'], ['02', 'C']]], '3 of a Kind']
['win', [[['10', 'D'], ['13', 'H']]], 'Pair']
['win', [[['01', 'H'], ['06', 'H']]], 'Flush']
['win', [[['09', 'H'], ['12', 'C']]], 'Pair']
['win', [[['13', 'H'], ['07', 'C']]], '2 Pairs']
['win', [[['13', 'S'], ['11', 'S']]], 'Straight']
['win', [[['09', 'S'], ['04', 'S']]], '2 Pairs']
['win', [[['06', 'S'], ['09', 'D']]], '2 Pairs']
['win', [[['04', 'H'], ['10', 'S']]], '2 Pairs']
['win', [[['07', 'C'], ['08', 'D']]], '2 Pairs']
['win', [[['10', 'H'], ['02', 'H']]], 'Flush']
['win', [[['08', 'C'], ['05', 'C']]], 'Pair']
['win', [[['10', 'H'], ['10', 'S']]], '3 of a Kind']
['win', [[['02', 'S'], ['07', 'H']]], 'Full House']
['win', [[['08', 'S'], ['13', 'H']]], 'Straight']
['win', [[['04', 'D'], ['09', 'C']]], '2 Pairs']
['win', [[['10', 'H'], ['03', 'S']]], '2 Pairs']
['win', [[['06', 'H'], ['10', 'S']]], '2 Pairs']
['win', [[['05', 'H'], ['03', 'H']]], '2 Pairs']
['win', [[['12', 'H'], ['12', 'C']]], 'Pair']
['win', [[['13', 'C'], ['11', 'C']]], 'Flush']
['win', [[['13', 'S'], ['11', 'D']]], 'Straight']
['win', [[['13', 'C'], ['04', 'S']]], '3 of a Kind']
['win', [[['09', 'C'], ['05', 'D']]], 'Pair']
['win', [[['06', 'S'], ['10', 'S']]], 'Flush']
['win', [[['09', 'D'], ['09', 'C']]], '2 Pairs']
['win', [[['13', 'S'], ['03', 'D']]], 'Pair']
['win', [[['12', 'C'], ['08', 'D']]], '2 Pairs']
['win', [[['12', 'D'], ['05', 'H']]], 'Pair']
['win', [[['12', 'D'], ['07', 'S']]], '2 Pairs']
['win', [[['14', 'S'], ['08', 'H']]], 'Straight']
['draw', [[['04', 'S'], ['02', 'D']], [['06', 'D'], ['09', 'H']], [['14', 'S'], ['12', 'S']]], 'Straight']
['win', [[['13', 'S'], ['06', 'S']]], 'Pair']
['win', [[['12', 'H'], ['11', 'C']]], '2 Pairs']
['win', [[['08', 'D'], ['10', 'D']]], 'Pair']
['win', [[['02', 'C'], ['13', 'H']]], 'Straight']
['win', [[['04', 'S'], ['04', 'D']]], '3 of a Kind']
['win', [[['02', 'C'], ['02', 'D']]], 'Full House']
['win', [[['01', 'D'], ['02', 'H']]], 'Full House']
['win', [[['12', 'C'], ['06', 'S']]], 'Pair']
['win', [[['11', 'C'], ['07', 'D']]], 'Pair']
['win', [[['14', 'D'], ['02', 'D']]], 'Straight']
['win', [[['09', 'D'], ['08', 'C']]], '2 Pairs']
['win', [[['02', 'C'], ['02', 'S']]], '3 of a Kind']
['win', [[['11', 'D'], ['04', 'H']]], '2 Pairs']
['win', [[['12', 'C'], ['04', 'C']]], '3 of a Kind']
['win', [[['05', 'C'], ['08', 'S']]], '2 Pairs']
['win', [[['06', 'H'], ['03', 'D']]], 'Pair']
['win', [[['13', 'C'], ['08', 'C']]], 'Pair']
['win', [[['12', 'C'], ['07', 'D']]], 'Full House']
['win', [[['04', 'C'], ['04', 'S']]], '2 Pairs']
['win', [[['02', 'C'], ['05', 'C']]], '3 of a Kind']
['win', [[['09', 'S'], ['08', 'D']]], '2 Pairs']
['win', [[['04', 'D'], ['04', 'H']]], '2 Pairs']
['win', [[['09', 'C'], ['05', 'C']]], 'Flush']
['win', [[['10', 'H'], ['10', 'S']]], '2 Pairs']
['win', [[['08', 'C'], ['05', 'H']]], '2 Pairs']
['win', [[['09', 'C'], ['07', 'H']]], 'Pair']
['draw', [[['05', 'C'], ['04', 'D']], [['02', 'S'], ['05', 'S']]], 'Straight']
['win', [[['01', 'D'], ['11', 'C']]], 'Pair']
['win', [[['06', 'C'], ['13', 'S']]], 'Pair']
['win', [[['02', 'S'], ['08', 'C']]], '2 Pairs']
['win', [[['05', 'S'], ['02', 'S']]], '2 Pairs']
['win', [[['08', 'H'], ['05', 'S']]], '2 Pairs']
['win', [[['13', 'D'], ['12', 'C']]], 'Pair']
['win', [[['08', 'S'], ['12', 'C']]], 'Straight']
['win', [[['08', 'C'], ['05', 'D']]], '2 Pairs']
['win', [[['02', 'C'], ['05', 'S']]], 'Flush']
['win', [[['11', 'H'], ['04', 'D']]], 'Pair']
['win', [[['07', 'H'], ['11', 'H']]], '2 Pairs']
['win', [[['03', 'C'], ['03', 'D']]], '3 of a Kind']
['win', [[['10', 'D'], ['08', 'S']]], '2 Pairs']
['win', [[['10', 'C'], ['01', 'S']]], '2 Pairs']
['win', [[['07', 'D'], ['04', 'S']]], '2 Pairs']
['win', [[['03', 'S'], ['02', 'D']]], 'Pair']
['win', [[['06', 'D'], ['02', 'D']]], '3 of a Kind']
['win', [[['12', 'S'], ['11', 'H']]], 'Pair']
['win', [[['09', 'D'], ['13', 'C']]], '2 Pairs']
['win', [[['10', 'C'], ['11', 'D']]], '2 Pairs']
['win', [[['05', 'H'], ['13', 'S']]], 'Straight']
['win', [[['02', 'H'], ['10', 'H']]], 'Flush']
['win', [[['11', 'D'], ['10', 'S']]], 'Full House']
['win', [[['02', 'H'], ['11', 'D']]], '2 Pairs']
['win', [[['07', 'C'], ['07', 'H']]], 'Full House']
['win', [[['12', 'D'], ['02', 'D']]], '2 Pairs']
['win', [[['08', 'C'], ['08', 'S']]], '2 Pairs']
['win', [[['13', 'D'], ['09', 'S']]], 'Pair']
['win', [[['06', 'S'], ['05', 'C']]], '2 Pairs']
['win', [[['09', 'D'], ['11', 'H']]], '2 Pairs']
['win', [[['04', 'C'], ['09', 'D']]], '3 of a Kind']
['win', [[['09', 'S'], ['07', 'D']]], 'Pair']
['win', [[['08', 'H'], ['09', 'C']]], '3 of a Kind']
['win', [[['13', 'C'], ['10', 'D']]], 'Full House']
['win', [[['04', 'C'], ['04', 'S']]], '2 Pairs']
['win', [[['01', 'H'], ['13', 'C']]], 'Pair']
['win', [[['07', 'H'], ['04', 'H']]], '2 Pairs']
['win', [[['08', 'H'], ['09', 'S']]], 'Flush']
['win', [[['11', 'S'], ['01', 'S']]], '2 Pairs']
['win', [[['06', 'H'], ['06', 'D']]], '2 Pairs']
['win', [[['05', 'S'], ['04', 'H']]], 'Full House']
['win', [[['01', 'C'], ['02', 'D']]], '3 of a Kind']
['win', [[['04', 'D'], ['01', 'D']]], '2 Pairs']
['win', [[['01', 'C'], ['12', 'H']]], '2 Pairs']
['win', [[['09', 'H'], ['08', 'S']]], 'Straight']
['win', [[['11', 'C'], ['10', 'C']]], '2 Pairs']
['win', [[['04', 'D'], ['07', 'D']]], 'Flush']
['win', [[['06', 'H'], ['03', 'S']]], '2 Pairs']
['win', [[['01', 'H'], ['07', 'D']]], '2 Pairs']
['win', [[['10', 'S'], ['05', 'C']]], '2 Pairs']
['win', [[['09', 'D'], ['04', 'S']]], '2 Pairs']
['win', [[['05', 'C'], ['01', 'D']]], '3 of a Kind']
['win', [[['07', 'H'], ['11', 'C']]], 'Straight']
['win', [[['09', 'D'], ['09', 'S']]], 'Pair']
['win', [[['08', 'H'], ['13', 'C']]], 'Pair']
['win', [[['07', 'C'], ['12', 'D']]], 'Pair']
['win', [[['08', 'S'], ['11', 'C']]], '2 Pairs']
['win', [[['05', 'S'], ['04', 'H']]], '2 Pairs']
['win', [[['02', 'S'], ['11', 'D']]], '2 Pairs']
['win', [[['12', 'H'], ['10', 'C']]], '2 Pairs']
['win', [[['09', 'D'], ['09', 'C']]], 'Full House']
['win', [[['12', 'C'], ['11', 'D']]], '2 Pairs']
['draw', [[['02', 'D'], ['12', 'H']], [['12', 'S'], ['10', 'D']]], 'Straight']
['win', [[['10', 'H'], ['13', 'H']]], 'Pair']
['win', [[['11', 'S'], ['04', 'S']]], 'Full House']
['win', [[['07', 'C'], ['11', 'C']]], 'Pair']
['win', [[['06', 'S'], ['09', 'S']]], '2 Pairs']
['win', [[['13', 'D'], ['10', 'D']]], 'Pair']
['win', [[['02', 'S'], ['11', 'C']]], '2 Pairs']
['draw', [[['10', 'H'], ['08', 'C']], [['10', 'D'], ['04', 'S']]], '2 Pairs']
['win', [[['01', 'H'], ['04', 'D']]], '3 of a Kind']
['win', [[['08', 'C'], ['09', 'H']]], 'Pair']
['win', [[['10', 'S'], ['04', 'S']]], '2 Pairs']
['win', [[['09', 'C'], ['03', 'D']]], '2 Pairs']
['win', [[['05', 'S'], ['03', 'D']]], 'Pair']
['win', [[['12', 'S'], ['09', 'C']]], '2 Pairs']
['win', [[['01', 'S'], ['01', 'H']]], '3 of a Kind']
['win', [[['12', 'C'], ['01', 'H']]], '2 Pairs']
['win', [[['02', 'C'], ['03', 'C']]], 'Full House']
['win', [[['07', 'C'], ['11', 'D']]], 'Pair']
['win', [[['08', 'H'], ['12', 'H']]], '2 Pairs']
['win', [[['04', 'S'], ['02', 'C']]], '3 of a Kind']
['win', [[['08', 'H'], ['12', 'S']]], 'Pair']
['win', [[['11', 'S'], ['09', 'C']]], '2 Pairs']
['win', [[['13', 'H'], ['03', 'H']]], '2 Pairs']
['win', [[['08', 'S'], ['04', 'D']]], 'Full House']
['win', [[['03', 'S'], ['07', 'C']]], '2 Pairs']
['win', [[['08', 'S'], ['06', 'D']]], 'Pair']
['win', [[['11', 'D'], ['01', 'H']]], 'Full House']
['win', [[['05', 'C'], ['06', 'H']]], '2 Pairs']
['win', [[['02', 'H'], ['10', 'H']]], 'Flush']
['win', [[['05', 'D'], ['03', 'C']]], '2 Pairs']
['win', [[['06', 'D'], ['12', 'D']]], '2 Pairs']
['win', [[['06', 'S'], ['07', 'S']]], 'Flush']
['win', [[['09', 'C'], ['13', 'C']]], 'Pair']
['win', [[['01', 'H'], ['04', 'H']]], '2 Pairs']
['win', [[['08', 'C'], ['06', 'C']]], '2 Pairs']
['win', [[['11', 'H'], ['10', 'H']]], '2 Pairs']
['win', [[['12', 'D'], ['05', 'H']]], 'Pair']
['win', [[['07', 'S'], ['07', 'C']]], 'Full House']
['win', [[['05', 'H'], ['12', 'H']]], 'Pair']
['win', [[['08', 'S'], ['03', 'D']]], '2 Pairs']
['win', [[['04', 'S'], ['01', 'C']]], '3 of a Kind']
['win', [[['10', 'H'], ['08', 'S']]], '2 Pairs']
['win', [[['09', 'S'], ['04', 'H']]], 'Full House']
['win', [[['07', 'D'], ['06', 'S']]], 'Pair']
['win', [[['11', 'H'], ['05', 'H']]], 'Straight']
['win', [[['08', 'D'], ['04', 'D']]], 'Pair']
['win', [[['05', 'C'], ['12', 'S']]], 'Pair']
['win', [[['09', 'S'], ['05', 'D']]], '3 of a Kind']
['win', [[['06', 'H'], ['11', 'S']]], 'Pair']
['win', [[['10', 'C'], ['10', 'S']]], 'Pair']
['win', [[['05', 'D'], ['04', 'H']]], 'Straight']
['win', [[['11', 'S'], ['12', 'C']]], 'Pair']
['win', [[['10', 'H'], ['04', 'S']]], 'Straight']
['win', [[['04', 'H'], ['10', 'H']]], 'Pair']
['win', [[['09', 'H'], ['10', 'S']]], 'Straight']
['win', [[['09', 'C'], ['08', 'C']]], 'Flush']
['win', [[['10', 'D'], ['10', 'C']]], 'Pair']
['win', [[['08', 'S'], ['10', 'H']]], 'Pair']
['win', [[['13', 'D'], ['08', 'S']]], 'Pair']
['win', [[['01', 'S'], ['09', 'C']]], '2 Pairs']
['win', [[['06', 'H'], ['10', 'D']]], 'Pair']
['win', [[['09', 'D'], ['04', 'S']]], '2 Pairs']
['win', [[['05', 'S'], ['10', 'D']]], '2 Pairs']
['win', [[['06', 'S'], ['13', 'S']]], '2 Pairs']
['win', [[['12', 'H'], ['13', 'D']]], 'Pair']
['win', [[['03', 'C'], ['12', 'C']]], 'Full House']
['win', [[['09', 'C'], ['10', 'S']]], 'Full House']
['win', [[['07', 'S'], ['13', 'H']]], 'Full House']
['win', [[['04', 'C'], ['11', 'C']]], '3 of a Kind']
['win', [[['07', 'S'], ['12', 'D']]], 'Pair']
['win', [[['12', 'S'], ['13', 'H']]], 'Pair']
['win', [[['02', 'S'], ['02', 'D']]], '2 Pairs']
['win', [[['09', 'S'], ['09', 'H']]], 'Pair']
['win', [[['02', 'D'], ['04', 'H']]], 'Pair']
['win', [[['01', 'S'], ['04', 'D']]], '2 Pairs']
['win', [[['03', 'H'], ['08', 'H']]], 'Flush']
['win', [[['07', 'D'], ['08', 'C']]], 'Pair']
['win', [[['12', 'D'], ['08', 'S']]], '3 of a Kind']
['win', [[['01', 'D'], ['10', 'D']]], 'Flush']
['win', [[['07', 'C'], ['08', 'D']]], '2 Pairs']
['win', [[['11', 'C'], ['06', 'D']]], 'Pair']
['win', [[['01', 'S'], ['03', 'S']]], 'Flush']
['win', [[['01', 'H'], ['05', 'S']]], '2 Pairs']
['win', [[['06', 'D'], ['03', 'C']]], '3 of a Kind']
['win', [[['09', 'C'], ['04', 'S']]], '2 Pairs']
['win', [[['05', 'H'], ['04', 'D']]], 'Straight']
['win', [[['03', 'H'], ['12', 'H']]], 'Flush']
['win', [[['04', 'H'], ['13', 'C']]], '3 of a Kind']
['win', [[['09', 'C'], ['09', 'D']]], '2 Pairs']
['win', [[['06', 'D'], ['13', 'S']]], 'Pair']
['win', [[['07', 'C'], ['07', 'H']]], 'Full House']
['win', [[['04', 'H'], ['12', 'H']]], 'Pair']
['win', [[['04', 'C'], ['11', 'C']]], 'Flush']
['win', [[['13', 'C'], ['09', 'C']]], '2 Pairs']
['win', [[['06', 'C'], ['03', 'H']]], '2 Pairs']
['win', [[['10', 'H'], ['05', 'S']]], '2 Pairs']
['win', [[['07', 'S'], ['12', 'S']]], 'Full House']
['win', [[['09', 'C'], ['09', 'H']]], 'Full House']
['win', [[['08', 'S'], ['01', 'D']]], '3 of a Kind']
['win', [[['12', 'H'], ['11', 'D']]], 'Pair']
['win', [[['12', 'D'], ['09', 'S']]], '2 Pairs']
['win', [[['11', 'S'], ['08', 'S']]], 'Pair']
['win', [[['11', 'S'], ['05', 'S']]], '3 of a Kind']
['win', [[['10', 'H'], ['07', 'C']]], '3 of a Kind']
['win', [[['12', 'H'], ['02', 'C']]], '3 of a Kind']
['win', [[['12', 'S'], ['10', 'C']]], '3 of a Kind']
['win', [[['10', 'C'], ['12', 'H']]], 'Pair']
['win', [[['12', 'D'], ['12', 'H']]], 'Pair']
['win', [[['05', 'C'], ['12', 'C']]], '2 Pairs']
['win', [[['12', 'D'], ['12', 'S']]], 'Pair']
['win', [[['06', 'H'], ['02', 'S']]], 'Full House']
['win', [[['07', 'D'], ['02', 'H']]], 'Pair']
['win', [[['03', 'D'], ['01', 'C']]], 'Full House']
['win', [[['03', 'H'], ['07', 'C']]], 'Straight']
['win', [[['07', 'H'], ['01', 'D']]], '3 of a Kind']
['win', [[['12', 'D'], ['08', 'D']]], 'Flush']
['win', [[['08', 'D'], ['12', 'H']]], 'Straight']
['win', [[['02', 'C'], ['11', 'S']]], '2 Pairs']
['win', [[['10', 'C'], ['12', 'C']]], '3 of a Kind']
['win', [[['04', 'C'], ['11', 'S']]], '3 of a Kind']
['win', [[['06', 'C'], ['13', 'D']]], 'Pair']
['win', [[['02', 'S'], ['11', 'C']]], '2 Pairs']
['win', [[['13', 'C'], ['02', 'D']]], '2 Pairs']
['win', [[['02', 'H'], ['04', 'C']]], 'Pair']
['win', [[['05', 'D'], ['06', 'C']]], 'Straight']
['win', [[['12', 'H'], ['13', 'C']]], '2 Pairs']
['win', [[['09', 'H'], ['05', 'H']]], 'Pair']
['win', [[['03', 'H'], ['13', 'D']]], '2 Pairs']
['win', [[['12', 'D'], ['11', 'S']]], 'Pair']
['win', [[['08', 'S'], ['02', 'C']]], '3 of a Kind']
['win', [[['07', 'C'], ['08', 'C']]], 'Flush']
['win', [[['02', 'D'], ['10', 'S']]], '2 Pairs']
['win', [[['03', 'D'], ['11', 'S']]], 'Pair']
['win', [[['07', 'D'], ['08', 'S']]], 'Pair']
['win', [[['01', 'H'], ['11', 'C']]], 'Pair']
['win', [[['04', 'H'], ['11', 'H']]], 'Pair']
['win', [[['12', 'S'], ['11', 'D']]], '2 Pairs']
['win', [[['05', 'C'], ['07', 'D']]], 'Flush']
['win', [[['09', 'H'], ['04', 'C']]], '2 Pairs']
['win', [[['08', 'C'], ['05', 'H']]], 'Pair']
['win', [[['02', 'H'], ['04', 'C']]], 'Straight']
['win', [[['12', 'S'], ['02', 'D']]], 'Pair']
['win', [[['10', 'C'], ['05', 'H']]], 'Pair']
['win', [[['11', 'C'], ['09', 'S']]], 'Straight']
['win', [[['13', 'D'], ['08', 'D']]], 'Straight']
['win', [[['01', 'C'], ['05', 'D']]], 'Full House']
['win', [[['11', 'C'], ['03', 'H']]], '2 Pairs']
['win', [[['02', 'C'], ['06', 'H']]], '2 Pairs']
['win', [[['07', 'D'], ['04', 'C']]], 'Full House']
['win', [[['07', 'C'], ['13', 'D']]], 'Pair']
['win', [[['04', 'D'], ['13', 'D']]], '2 Pairs']
['win', [[['11', 'S'], ['08', 'C']]], 'Pair']
['win', [[['13', 'S'], ['11', 'C']]], '2 Pairs']
['win', [[['03', 'D'], ['01', 'H']]], '3 of a Kind']
['win', [[['06', 'C'], ['10', 'C']]], '2 Pairs']
['win', [[['11', 'H'], ['12', 'S']]], '2 Pairs']
['win', [[['12', 'D'], ['07', 'D']]], 'Pair']
['win', [[['03', 'H'], ['04', 'H']]], 'Flush']
['win', [[['04', 'D'], ['13', 'D']]], 'Flush']
['win', [[['07', 'D'], ['12', 'S']]], 'Pair']
['win', [[['04', 'S'], ['03', 'H']]], 'Straight']
['win', [[['07', 'D'], ['08', 'C']]], 'Straight']
['win', [[['01', 'D'], ['07', 'S']]], '3 of a Kind']
['win', [[['12', 'H'], ['07', 'S']]], 'Pair']
['win', [[['12', 'D'], ['04', 'D']]], 'Pair']
['win', [[['04', 'H'], ['05', 'S']]], '2 Pairs']
['win', [[['04', 'H'], ['10', 'C']]], 'Full House']
['win', [[['13', 'D'], ['07', 'C']]], 'Straight']
['win', [[['03', 'C'], ['07', 'H']]], 'Straight']
['win', [[['06', 'D'], ['04', 'S']]], '3 of a Kind']
['win', [[['07', 'D'], ['06', 'D']]], 'Straight']
['win', [[['09', 'D'], ['02', 'C']]], 'Pair']
['win', [[['03', 'D'], ['06', 'H']]], 'Straight']
['win', [[['07', 'C'], ['11', 'C']]], '3 of a Kind']
['win', [[['05', 'D'], ['10', 'C']]], '3 of a Kind']
['win', [[['07', 'S'], ['05', 'S']]], '3 of a Kind']
['win', [[['11', 'D'], ['08', 'S']]], 'Full House']
['win', [[['05', 'D'], ['04', 'C']]], '2 Pairs']
['win', [[['12', 'S'], ['03', 'C']]], 'Straight']
['win', [[['03', 'D'], ['07', 'S']]], 'Straight']
['win', [[['10', 'C'], ['05', 'H']]], '2 Pairs']
['win', [[['13', 'H'], ['05', 'H']]], '2 Pairs']
['win', [[['07', 'D'], ['11', 'C']]], '3 of a Kind']
['win', [[['09', 'S'], ['12', 'H']]], '2 Pairs']
['win', [[['02', 'H'], ['09', 'H']]], '2 Pairs']
['win', [[['13', 'D'], ['12', 'H']]], 'Pair']
['win', [[['13', 'S'], ['06', 'S']]], 'Pair']
['win', [[['06', 'D'], ['13', 'D']]], 'Pair']
['win', [[['09', 'C'], ['11', 'C']]], 'Pair']
['win', [[['07', 'S'], ['06', 'D']]], '2 Pairs']
['win', [[['04', 'C'], ['02', 'C']]], 'Straight']
['win', [[['08', 'C'], ['11', 'D']]], 'Pair']
['win', [[['11', 'S'], ['12', 'S']]], 'Straight']
['win', [[['04', 'C'], ['07', 'C']]], 'Pair']
['win', [[['03', 'S'], ['12', 'C']]], '3 of a Kind']
['win', [[['10', 'D'], ['12', 'S']]], 'Pair']
['win', [[['12', 'S'], ['06', 'S']]], '2 Pairs']
['win', [[['03', 'C'], ['12', 'H']]], 'Pair']
['win', [[['09', 'H'], ['12', 'C']]], 'Full House']
['win', [[['05', 'S'], ['13', 'C']]], 'Pair']
['win', [[['09', 'H'], ['10', 'S']]], '2 Pairs']
['win', [[['02', 'C'], ['02', 'H']]], '3 of a Kind']
['win', [[['01', 'S'], ['03', 'S']]], 'Flush']
['win', [[['12', 'D'], ['13', 'D']]], '2 Pairs']
['win', [[['01', 'S'], ['10', 'S']]], '2 Pairs']
['win', [[['12', 'C'], ['12', 'D']]], '2 Pairs']
['win', [[['09', 'H'], ['09', 'S']]], 'Full House']
['win', [[['02', 'D'], ['02', 'H']]], 'Full House']
['win', [[['07', 'S'], ['08', 'D']]], 'Straight']
['win', [[['10', 'D'], ['11', 'S']]], 'Flush']
['win', [[['05', 'C'], ['10', 'H']]], '3 of a Kind']
['win', [[['06', 'C'], ['13', 'S']]], 'Pair']
['win', [[['07', 'H'], ['13', 'C']]], 'Pair']
['win', [[['11', 'D'], ['01', 'C']]], '3 of a Kind']
['win', [[['03', 'D'], ['11', 'D']]], '2 Pairs']
['win', [[['09', 'C'], ['12', 'S']]], 'Pair']
['draw', [[['12', 'D'], ['07', 'C']], [['09', 'D'], ['09', 'S']], [['14', 'D'], ['02', 'H']]], 'Straight']
['win', [[['13', 'D'], ['09', 'S']]], '3 of a Kind']
['win', [[['05', 'H'], ['07', 'H']]], '2 Pairs']
['win', [[['11', 'D'], ['12', 'C']]], '2 Pairs']
['win', [[['13', 'H'], ['09', 'S']]], '3 of a Kind']
['win', [[['08', 'S'], ['01', 'H']]], '2 Pairs']
['win', [[['12', 'C'], ['06', 'D']]], 'Straight']
['win', [[['10', 'D'], ['06', 'S']]], '2 Pairs']
['win', [[['10', 'C'], ['02', 'S']]], 'Pair']
['win', [[['08', 'D'], ['11', 'C']]], 'Pair']
['win', [[['01', 'S'], ['01', 'C']]], '3 of a Kind']
['win', [[['10', 'S'], ['08', 'C']]], 'Pair']
['win', [[['09', 'C'], ['01', 'S']]], 'Flush']
['win', [[['11', 'D'], ['12', 'H']]], '2 Pairs']
['win', [[['03', 'D'], ['13', 'S']]], '2 Pairs']
['win', [[['06', 'C'], ['08', 'C']]], '2 Pairs']
['win', [[['07', 'H'], ['07', 'S']]], '3 of a Kind']
['win', [[['13', 'H'], ['07', 'H']]], 'Flush']
['win', [[['03', 'S'], ['10', 'C']]], 'Pair']
['win', [[['12', 'D'], ['01', 'S']]], 'Pair']
['win', [[['06', 'H'], ['12', 'S']]], '3 of a Kind']
['win', [[['11', 'D'], ['12', 'C']]], 'Pair']
['win', [[['03', 'H'], ['01', 'C']]], '2 Pairs']
['win', [[['03', 'C'], ['07', 'D']]], 'Full House']
['win', [[['13', 'H'], ['04', 'H']]], 'Pair']
['win', [[['11', 'H'], ['12', 'S']]], '3 of a Kind']
['win', [[['13', 'D'], ['07', 'C']]], '2 Pairs']
['win', [[['09', 'H'], ['13', 'C']]], 'Pair']
['win', [[['13', 'S'], ['08', 'C']]], '2 Pairs']
['win', [[['09', 'C'], ['10', 'D']]], 'Pair']
['win', [[['11', 'C'], ['13', 'D']]], '2 Pairs']
['win', [[['08', 'C'], ['12', 'H']]], 'Pair']
['win', [[['06', 'C'], ['07', 'S']]], '2 Pairs']
['win', [[['12', 'D'], ['09', 'H']]], 'Pair']
['win', [[['13', 'D'], ['11', 'H']]], '2 Pairs']
['win', [[['13', 'C'], ['08', 'C']]], 'Flush']
['win', [[['02', 'H'], ['07', 'C']]], 'Straight']
['win', [[['12', 'C'], ['04', 'H']]], '2 Pairs']
['win', [[['04', 'S'], ['12', 'S']]], '2 Pairs']
['win', [[['05', 'H'], ['04', 'H']]], '2 Pairs']
['win', [[['11', 'H'], ['10', 'D']]], '3 of a Kind']
['win', [[['09', 'D'], ['07', 'D']]], 'Flush']
['win', [[['03', 'C'], ['05', 'S']]], '2 Pairs']
['win', [[['06', 'S'], ['09', 'H']]], '2 Pairs']
['win', [[['06', 'S'], ['12', 'D']]], '2 Pairs']
['win', [[['05', 'S'], ['12', 'S']]], 'Pair']
['win', [[['03', 'S'], ['08', 'D']]], '2 Pairs']
['win', [[['12', 'H'], ['07', 'S']]], '3 of a Kind']
['win', [[['10', 'S'], ['03', 'H']]], 'Pair']
['win', [[['11', 'H'], ['04', 'C']]], 'Full House']
['win', [[['05', 'H'], ['09', 'C']]], '2 Pairs']
['win', [[['07', 'C'], ['07', 'S']]], 'Pair']
['win', [[['07', 'H'], ['14', 'H']]], 'Straight']
['win', [[['09', 'C'], ['06', 'D']]], 'Full House']
['win', [[['03', 'C'], ['07', 'S']]], 'Straight']
['win', [[['02', 'C'], ['05', 'C']]], '2 Pairs']
['win', [[['13', 'H'], ['02', 'D']]], 'Straight']
['win', [[['10', 'C'], ['02', 'C']]], 'Pair']
['win', [[['12', 'S'], ['11', 'H']]], 'Straight']
['win', [[['07', 'C'], ['11', 'C']]], 'Flush']
['win', [[['06', 'S'], ['10', 'S']]], 'Pair']
['win', [[['12', 'H'], ['10', 'H']]], '2 Pairs']
['win', [[['03', 'D'], ['13', 'H']]], '3 of a Kind']
['win', [[['11', 'H'], ['03', 'H']]], 'Flush']
['win', [[['04', 'H'], ['03', 'H']]], 'Pair']
['win', [[['06', 'D'], ['04', 'D']]], 'Pair']
['win', [[['08', 'H'], ['13', 'S']]], '2 Pairs']
['win', [[['02', 'H'], ['05', 'H']]], 'Flush']
['win', [[['12', 'S'], ['10', 'S']]], 'Pair']
['win', [[['11', 'S'], ['09', 'C']]], '2 Pairs']
['win', [[['02', 'H'], ['01', 'D']]], '3 of a Kind']
['win', [[['04', 'D'], ['05', 'D']]], 'Flush']
['win', [[['11', 'D'], ['10', 'C']]], '3 of a Kind']
['win', [[['13', 'H'], ['09', 'C']]], 'Flush']
['win', [[['04', 'D'], ['06', 'D']]], 'Flush']
['win', [[['01', 'C'], ['11', 'C']]], '2 Pairs']
['win', [[['04', 'H'], ['06', 'H']]], 'Full House']
['win', [[['13', 'D'], ['12', 'S']]], '3 of a Kind']
['win', [[['10', 'H'], ['06', 'C']]], 'Pair']
['win', [[['12', 'C'], ['11', 'H']]], '3 of a Kind']
['win', [[['13', 'C'], ['11', 'C']]], '2 Pairs']
['win', [[['06', 'H'], ['12', 'H']]], 'Pair']
['win', [[['10', 'H'], ['13', 'C']]], 'Pair']
['win', [[['12', 'C'], ['13', 'C']]], '2 Pairs']
['win', [[['03', 'C'], ['04', 'C']]], 'Straight']
['win', [[['07', 'C'], ['08', 'C']]], 'Straight']
['win', [[['09', 'S'], ['05', 'S']]], 'Straight']
['win', [[['13', 'C'], ['02', 'C']]], 'Pair']
['win', [[['11', 'H'], ['07', 'D']]], '2 Pairs']
['win', [[['04', 'C'], ['07', 'S']]], '2 Pairs']
['win', [[['05', 'D'], ['03', 'C']]], 'Full House']
['win', [[['04', 'S'], ['08', 'S']]], '2 Pairs']
['win', [[['13', 'H'], ['12', 'D']]], 'Pair']
['win', [[['08', 'S'], ['07', 'S']]], '3 of a Kind']
['win', [[['11', 'S'], ['06', 'C']]], '2 Pairs']
['win', [[['01', 'D'], ['01', 'C']]], '3 of a Kind']
['win', [[['08', 'H'], ['13', 'D']]], 'Pair']
['win', [[['06', 'S'], ['11', 'D']]], '2 Pairs']
